美食,酒店,购物,生活服务,丽人,旅游景点,休闲娱乐,运动健身,教育培训,文化传媒,医疗,汽车服务,交通设施,金融,房地产,公司企业,政府机构,出入口,自然地物,道路,门址,绿地,行政区划,地铁线路,公交线路,行政地标,商圈,铁路,其他线要素,水系,纬度,经度,急救中心
0,0,2,1,0,2,0,0,1,0,1,0,2,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,39.6384317604284,115.96125016522012,0
1,0,7,1,0,0,0,0,0,0,0,0,4,0,0,5,6,0,0,0,0,0,0,0,0,2,0,0,0,0,39.6384317604284,115.97286882819199,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,115.98448749116386,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,39.6384317604284,115.99610615413573,0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.0077248171076,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.01934348007947,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.03096214305134,0
1,0,2,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.04258080602321,0
1,0,1,1,1,0,1,1,2,0,0,1,0,0,9,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.0541994689951,0
7,0,15,6,1,0,4,0,8,0,3,0,6,0,4,12,10,3,0,1,1,0,0,0,0,0,0,0,0,0,39.6384317604284,116.06581813196696,0
1,0,1,0,0,0,0,0,0,0,0,2,3,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.07743679493883,0
1,0,3,4,0,0,0,0,0,0,1,1,18,0,1,3,4,0,0,0,0,0,0,0,0,2,0,0,0,0,39.6384317604284,116.0890554579107,0
0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.10067412088257,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.11229278385444,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.12391144682631,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.13553010979818,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.14714877277005,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.15876743574192,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.17038609871379,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.18200476168566,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.19362342465753,0
2,0,7,1,0,0,1,0,0,0,2,4,6,0,8,8,1,0,0,1,0,0,0,0,0,2,0,0,0,0,39.6384317604284,116.2052420876294,0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.21686075060128,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.22847941357315,0
0,0,2,3,0,1,0,0,0,0,1,0,4,0,0,1,6,0,0,2,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.24009807654502,0
0,0,3,0,0,0,1,0,0,0,0,0,8,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.2517167395169,0
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,6,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.26333540248876,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.27495406546063,0
0,0,4,1,0,0,0,0,0,0,0,2,4,0,0,3,5,0,0,6,0,0,0,0,0,2,0,0,0,0,39.6384317604284,116.2865727284325,0
0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.29819139140437,0
6,0,13,3,0,0,0,0,0,0,0,0,4,0,5,8,1,8,0,6,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.30981005437624,0
24,0,17,13,10,2,7,0,7,0,12,5,11,0,33,17,4,9,0,10,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.32142871734811,0
44,3,48,17,11,2,8,0,2,0,7,2,20,6,17,26,20,11,0,4,0,0,0,0,0,7,0,0,0,0,39.6384317604284,116.33304738031998,0
0,0,0,0,0,0,5,0,1,0,0,0,2,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.34466604329185,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.35628470626372,0
1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.36790336923559,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.37952203220746,0
0,0,3,3,0,0,0,0,2,0,0,0,4,0,0,17,0,2,0,1,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.39114069517933,0
2,0,6,4,0,2,0,0,2,1,2,5,6,1,2,29,4,7,0,4,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.40275935815121,0
3,0,3,2,0,0,2,0,0,0,0,1,10,4,1,5,5,4,0,2,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.41437802112308,0
3,0,2,2,0,0,1,0,1,0,1,0,4,0,0,4,14,0,0,6,0,0,0,0,0,2,0,0,0,0,39.6384317604284,116.42599668409495,0
0,0,6,2,0,0,0,0,2,1,0,1,5,0,0,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.43761534706682,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.4492340100387,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.46085267301056,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,39.6384317604284,116.47247133598243,0
0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.4840899989543,0
0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,7,2,1,0,2,0,0,0,0,0,2,0,0,0,0,39.6384317604284,116.49570866192617,0
0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.50732732489804,0
1,0,0,1,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.51894598786991,0
0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.53056465084178,0
0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.54218331381365,0
0,0,2,0,0,1,0,0,0,0,0,0,6,0,0,0,1,3,0,4,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.55380197678552,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.5654206397574,0
0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,39.6384317604284,116.57703930272928,0
1,0,0,0,0,0,2,0,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.58865796570115,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39.6384317604284,116.60027662867302,0
