美食,酒店,购物,生活服务,丽人,旅游景点,休闲娱乐,运动健身,教育培训,文化传媒,医疗,汽车服务,交通设施,金融,房地产,公司企业,政府机构,出入口,自然地物,道路,门址,绿地,行政区划,地铁线路,公交线路,行政地标,商圈,铁路,其他线要素,水系,纬度,经度,急救中心
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,30.363579426578895,103.70250519180168,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,30.363579426578895,103.7128796268705,0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.363579426578895,103.72325406193933,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,30.363579426578895,103.73362849700816,0
1,0,3,0,1,0,2,0,1,0,3,0,0,0,0,4,4,2,0,0,0,0,0,0,0,2,0,0,0,0,30.363579426578895,103.74400293207698,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,30.363579426578895,103.7543773671458,0
0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,30.363579426578895,103.76475180221463,0
3,0,1,1,0,3,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,30.363579426578895,103.77512623728346,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.363579426578895,103.7855006723523,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.363579426578895,103.79587510742112,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,30.363579426578895,103.80624954248995,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,30.363579426578895,103.81662397755878,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.363579426578895,103.8269984126276,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.363579426578895,103.83737284769643,0
0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,30.363579426578895,103.84774728276525,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,5,0,1,0,0,0,0,0,2,0,0,0,0,30.363579426578895,103.85812171783408,0
0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,12,1,1,0,3,0,0,0,0,0,0,0,0,0,0,30.363579426578895,103.8684961529029,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.363579426578895,103.87887058797173,0
0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,12,0,8,0,3,0,0,0,0,0,0,0,0,0,0,30.363579426578895,103.88924502304056,0
2,0,3,2,0,0,0,0,1,0,0,1,0,0,5,14,1,6,0,2,0,0,0,0,0,2,0,0,0,0,30.363579426578895,103.89961945810938,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,30.363579426578895,103.90999389317821,0
1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,30.363579426578895,103.92036832824704,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.363579426578895,103.93074276331586,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.363579426578895,103.94111719838469,0
