美食,酒店,购物,生活服务,丽人,旅游景点,休闲娱乐,运动健身,教育培训,文化传媒,医疗,汽车服务,交通设施,金融,房地产,公司企业,政府机构,出入口,自然地物,道路,门址,绿地,行政区划,地铁线路,公交线路,行政地标,商圈,铁路,其他线要素,水系,纬度,经度,急救中心
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.154402669214846,115.38008802925751,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,35.154402669214846,115.39098497831438,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.154402669214846,115.40188192737122,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35.154402669214846,115.41277887642809,0
1,1,0,0,0,0,0,0,0,0,1,1,4,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35.154402669214846,115.42367582548493,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35.154402669214846,115.4345727745418,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.154402669214846,115.44546972359865,0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35.154402669214846,115.45636667265552,0
5,1,11,3,3,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35.154402669214846,115.46726362171236,0
14,1,32,6,4,0,1,2,4,0,1,1,1,1,0,2,6,0,0,0,0,0,0,0,0,4,0,0,0,0,35.154402669214846,115.4781605707692,0
1,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,35.154402669214846,115.48905751982608,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35.154402669214846,115.49995446888292,0
0,0,2,1,0,1,1,0,2,0,0,0,4,0,1,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,35.154402669214846,115.51085141793979,0
0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,8,1,0,1,2,0,0,0,0,0,0,0,0,0,0,35.154402669214846,115.52174836699663,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35.154402669214846,115.5326453160535,0
13,0,28,3,3,1,1,1,0,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35.154402669214846,115.54354226511035,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35.154402669214846,115.55443921416722,0
0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,35.154402669214846,115.56533616322406,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35.154402669214846,115.57623311228093,0
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35.154402669214846,115.58713006133777,0
