美食,酒店,购物,生活服务,丽人,旅游景点,休闲娱乐,运动健身,教育培训,文化传媒,医疗,汽车服务,交通设施,金融,房地产,公司企业,政府机构,出入口,自然地物,道路,门址,绿地,行政区划,地铁线路,公交线路,行政地标,商圈,铁路,其他线要素,水系,纬度,经度,急救中心
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,31.781225745691163,118.54332460980697,0
0,0,6,1,0,0,0,0,2,0,0,6,13,0,0,8,1,1,0,1,0,0,0,0,0,1,0,0,0,0,31.781225745691163,118.55382127369998,0
0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,31.781225745691163,118.56431793759302,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,31.781225745691163,118.57481460148603,0
0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,31.781225745691163,118.58531126537906,0
2,5,0,2,0,2,4,1,0,0,0,0,2,0,10,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,31.781225745691163,118.59580792927207,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.781225745691163,118.6063045931651,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,31.781225745691163,118.61680125705813,0
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,31.781225745691163,118.62729792095115,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,31.781225745691163,118.63779458484419,0
0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,6,0,0,0,0,31.781225745691163,118.6482912487372,0
6,0,1,1,0,0,0,1,0,0,0,1,4,0,0,5,1,0,1,0,0,0,0,0,0,2,0,0,0,0,31.781225745691163,118.65878791263023,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,31.781225745691163,118.66928457652324,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,31.781225745691163,118.67978124041628,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,31.781225745691163,118.69027790430928,0
8,2,1,0,0,3,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.781225745691163,118.70077456820232,0
4,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31.781225745691163,118.71127123209533,0
