美食,酒店,购物,生活服务,丽人,旅游景点,休闲娱乐,运动健身,教育培训,文化传媒,医疗,汽车服务,交通设施,金融,房地产,公司企业,政府机构,出入口,自然地物,道路,门址,绿地,行政区划,地铁线路,公交线路,行政地标,商圈,铁路,其他线要素,水系,纬度,经度,急救中心
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.07907769252225,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.08946600707668,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.09985432163111,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.11024263618552,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.12063095073995,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.13101926529438,0
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.811848526314364,121.14140757984879,0
1,0,0,0,0,0,0,0,1,0,2,0,3,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,30.811848526314364,121.15179589440322,0
0,0,1,0,0,1,0,0,1,1,1,0,3,0,0,0,6,0,0,1,0,0,0,0,0,3,0,0,0,0,30.811848526314364,121.16218420895765,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,30.811848526314364,121.17257252351206,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,1,0,0,0,0,0,2,0,0,0,0,30.811848526314364,121.18296083806649,0
0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,30.811848526314364,121.19334915262093,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,5,0,0,0,0,30.811848526314364,121.20373746717534,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,30.811848526314364,121.21412578172976,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.811848526314364,121.2245140962842,0
0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,2,2,1,1,1,0,0,0,0,0,6,0,0,0,0,30.811848526314364,121.23490241083861,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,30.811848526314364,121.24529072539303,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,30.811848526314364,121.25567903994747,0
0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,30.811848526314364,121.26606735450189,0
0,0,5,1,0,0,1,0,0,0,1,1,3,0,1,26,3,2,1,1,0,0,0,0,0,4,0,0,0,0,30.811848526314364,121.2764556690563,0
10,0,16,3,2,2,4,0,3,1,2,1,5,0,7,15,10,14,1,5,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.28684398361074,0
42,3,65,26,12,3,10,2,12,1,7,7,15,2,32,29,32,19,0,4,0,0,0,0,1,3,0,0,0,0,30.811848526314364,121.29723229816516,0
0,0,3,0,0,1,0,0,0,0,0,0,7,0,1,6,4,3,0,1,0,0,0,0,0,5,0,0,0,0,30.811848526314364,121.30762061271957,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,30.811848526314364,121.31800892727401,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,3,0,0,0,0,30.811848526314364,121.32839724182843,0
0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,10,0,2,1,1,0,0,0,0,0,2,0,0,0,0,30.811848526314364,121.33878555638285,0
2,1,2,4,0,0,0,0,0,0,0,1,2,0,1,12,3,5,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.34917387093728,0
2,0,3,1,1,0,0,0,1,0,0,1,2,0,1,50,2,2,0,1,0,0,0,0,0,5,0,0,0,0,30.811848526314364,121.3595621854917,0
6,0,8,4,1,1,0,0,1,1,1,0,2,0,1,33,5,3,0,2,0,0,0,0,0,5,0,0,0,0,30.811848526314364,121.36995050004612,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.811848526314364,121.38033881460055,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,30.811848526314364,121.39072712915497,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,30.811848526314364,121.40111544370939,0
2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0,0,0,3,0,0,0,0,30.811848526314364,121.41150375826382,0
0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.42189207281825,0
0,0,0,2,0,0,0,0,0,1,0,1,4,0,0,7,1,1,0,1,0,0,0,0,0,3,0,0,0,0,30.811848526314364,121.43228038737266,0
0,0,0,6,0,0,0,0,1,0,0,0,8,0,0,5,0,1,0,2,0,0,0,0,0,4,0,0,0,0,30.811848526314364,121.44266870192709,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,30.811848526314364,121.45305701648152,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,30.811848526314364,121.46344533103593,0
0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.47383364559036,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.4842219601448,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.4946102746992,0
0,0,3,5,1,0,0,1,1,2,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.50499858925363,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.51538690380806,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.52577521836247,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.5361635329169,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.54655184747133,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.55694016202574,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.56732847658017,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.5777167911346,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.58810510568901,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.59849342024344,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.60888173479788,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.6192700493523,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.62965836390671,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.64004667846115,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.65043499301557,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.66082330756998,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.67121162212442,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.68159993667884,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.69198825123325,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.70237656578769,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.7127648803421,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.72315319489653,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.73354150945096,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.74392982400538,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.7543181385598,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.76470645311423,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.77509476766865,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.78548308222307,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.7958713967775,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.80625971133192,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.811848526314364,121.81664802588634,0
