美食,酒店,购物,生活服务,丽人,旅游景点,休闲娱乐,运动健身,教育培训,文化传媒,医疗,汽车服务,交通设施,金融,房地产,公司企业,政府机构,出入口,自然地物,道路,门址,绿地,行政区划,地铁线路,公交线路,行政地标,商圈,铁路,其他线要素,水系,纬度,经度,急救中心
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.441579823025226,117.94689256539206,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.441579823025226,117.9567532983612,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.441579823025226,117.96661403133038,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.441579823025226,117.97647476429952,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.441579823025226,117.98633549726867,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.441579823025226,117.99619623023784,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.441579823025226,118.00605696320699,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.441579823025226,118.01591769617616,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.441579823025226,118.0257784291453,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.441579823025226,118.03563916211448,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.441579823025226,118.04549989508362,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.441579823025226,118.05536062805278,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.441579823025226,118.06522136102194,0
3,6,3,8,0,31,0,1,0,1,1,0,2,0,2,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,24.441579823025226,118.07508209399109,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.441579823025226,118.08494282696026,0
310,90,167,55,33,17,29,14,30,5,13,5,34,16,67,78,22,54,1,15,2,0,2,0,1,9,0,0,0,0,24.441579823025226,118.0948035599294,0
62,10,21,15,2,21,10,7,125,15,2,1,44,7,85,4,9,28,1,15,0,0,0,0,3,1,0,0,0,0,24.441579823025226,118.10466429289858,0
7,0,3,1,0,7,0,1,12,0,0,1,16,0,43,2,4,6,2,7,0,0,0,0,0,3,0,0,0,0,24.441579823025226,118.11452502586772,0
271,182,120,57,24,10,10,5,31,4,15,6,36,5,138,57,25,55,2,9,7,0,1,0,1,11,0,0,0,0,24.441579823025226,118.1243857588369,0
15,13,22,13,1,4,2,5,5,0,7,3,10,0,83,25,4,17,0,2,0,0,0,0,0,3,0,0,0,0,24.441579823025226,118.13424649180604,0
33,87,12,10,1,1,4,1,1,0,1,1,4,0,62,1,1,4,2,3,0,0,0,0,0,1,0,0,0,0,24.441579823025226,118.14410722477518,0
38,112,26,16,5,4,6,3,5,1,1,0,23,0,37,4,10,16,0,2,0,1,1,0,0,5,0,0,0,0,24.441579823025226,118.15396795774436,0
6,8,3,5,0,8,4,1,8,0,0,1,3,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,24.441579823025226,118.1638286907135,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.441579823025226,118.17368942368267,0
